担当者,受注日,受注商品コード,受注金額
鈴木,2017/07/06,A002,360500
鈴木,2017/07/07,A005,677500
佐藤,2017/07/09,A004,54700
鈴木,2017/07/10,A002,523000
田中,2017/07/12,A005,167200
鈴木,2017/07/12,A005,299400
佐藤,2017/07/12,A001,974200
佐々木,2017/07/13,A002,943100
佐藤,2017/07/14,A004,395100
佐々木,2017/07/14,A004,73400
佐藤,2017/07/15,A002,296800
田中,2017/07/15,A002,592800
佐々木,2017/07/17,A004,376700
鈴木,2017/07/17,A005,510400
佐藤,2017/07/18,A003,969600
田中,2017/07/18,A004,62700
鈴木,2017/07/20,A002,274500
佐藤,2017/07/20,A003,335200
佐藤,2017/07/21,A003,761700
田中,2017/07/22,A002,512500
佐々木,2017/07/22,A003,78200
田中,2017/07/22,A001,640300
佐々木,2017/07/22,A002,534600
佐々木,2017/07/24,A005,785800
佐々木,2017/07/24,A004,772600
佐藤,2017/07/24,A003,700100
佐藤,2017/07/27,A003,469100
佐々木,2017/07/27,A002,515600
田中,2017/07/28,A001,725500
佐藤,2017/07/29,A005,417200
佐藤,2017/07/29,A004,616300
鈴木,2017/07/29,A002,577200
佐々木,2017/07/29,A003,600900
佐藤,2017/07/29,A005,364600
佐藤,2017/07/31,A002,292000
佐藤,2017/07/31,A003,398400
鈴木,2017/07/31,A005,210200
佐々木,2017/08/01,A002,469400
佐々木,2017/08/02,A001,128100
佐藤,2017/08/04,A001,682000
田中,2017/08/05,A001,340600
佐々木,2017/08/05,A003,949100
鈴木,2017/08/05,A002,842300
佐藤,2017/08/07,A004,137400
田中,2017/08/07,A003,908800
佐々木,2017/08/08,A004,67000
佐々木,2017/08/09,A003,241700
田中,2017/08/11,A001,74300
鈴木,2017/08/13,A002,276200
佐々木,2017/08/14,A001,250300
鈴木,2017/08/15,A005,590100
鈴木,2017/08/16,A005,795700
佐藤,2017/08/17,A002,66100
鈴木,2017/08/17,A002,976700
佐藤,2017/08/17,A001,589900
佐々木,2017/08/19,A001,732300
田中,2017/08/20,A003,920000
佐々木,2017/08/20,A001,43800
鈴木,2017/08/20,A004,249000
佐藤,2017/08/20,A005,927600
佐藤,2017/08/21,A001,645700
田中,2017/08/21,A001,223100
鈴木,2017/08/22,A004,827400
佐々木,2017/08/22,A003,627200
佐々木,2017/08/22,A003,985800
佐々木,2017/08/22,A003,823000
佐藤,2017/08/23,A004,549900
鈴木,2017/08/23,A001,935900
佐藤,2017/08/23,A004,115200
佐藤,2017/08/24,A001,385400
佐々木,2017/08/25,A004,401200
佐藤,2017/08/25,A002,802800
佐藤,2017/08/25,A004,734700
鈴木,2017/08/25,A005,232600
佐藤,2017/08/26,A002,708900
佐藤,2017/08/28,A005,478900
鈴木,2017/08/28,A005,782500
佐々木,2017/08/29,A004,145600
佐藤,2017/08/29,A004,64400
佐々木,2017/08/31,A004,202300
田中,2017/08/31,A005,658600
佐藤,2017/09/02,A002,813500
佐藤,2017/09/03,A002,814800
田中,2017/09/03,A005,394200
佐々木,2017/09/04,A003,176500
田中,2017/09/06,A004,976200
佐藤,2017/09/06,A001,543400
佐々木,2017/09/06,A004,872500
佐藤,2017/09/07,A003,805300
佐藤,2017/09/09,A001,788100
鈴木,2017/09/10,A002,649100
佐藤,2017/09/12,A005,501900
鈴木,2017/09/13,A003,433200
佐々木,2017/09/14,A004,51200
鈴木,2017/09/16,A005,718400
佐藤,2017/09/18,A005,22500
田中,2017/09/18,A003,426100
鈴木,2017/09/20,A005,773000
田中,2017/09/21,A005,952500
佐々木,2017/09/21,A002,955800
佐藤,2017/09/21,A005,77300
佐藤,2017/09/21,A003,969500
田中,2017/09/21,A004,955600
佐々木,2017/09/22,A003,26100
佐藤,2017/09/22,A003,491700
佐々木,2017/09/22,A003,717400
佐々木,2017/09/23,A005,217400
佐藤,2017/09/23,A002,360500
田中,2017/09/23,A005,46500
鈴木,2017/09/23,A005,540600
佐藤,2017/09/23,A002,272500
田中,2017/09/25,A003,132500
鈴木,2017/09/25,A001,394500
佐藤,2017/09/26,A003,776400
鈴木,2017/09/27,A001,71800
佐々木,2017/09/28,A005,750900
佐藤,2017/09/28,A004,333700
佐藤,2017/09/28,A002,154900
佐藤,2017/09/28,A003,550900
佐々木,2017/09/29,A002,131600
佐々木,2017/09/30,A004,138600
鈴木,2017/10/01,A005,792300
佐々木,2017/10/02,A003,102700
佐藤,2017/10/03,A001,193100
鈴木,2017/10/04,A005,819800
田中,2017/10/05,A004,757800
田中,2017/10/06,A005,159500
鈴木,2017/10/07,A004,923600
田中,2017/10/08,A001,920300
鈴木,2017/10/08,A002,25300
佐藤,2017/10/09,A003,215400
鈴木,2017/10/09,A003,65900
佐藤,2017/10/10,A002,980300
田中,2017/10/11,A005,529200
佐藤,2017/10/12,A005,906700
佐藤,2017/10/13,A001,688200
佐々木,2017/10/13,A003,488400
佐々木,2017/10/13,A005,610300
佐藤,2017/10/14,A004,973100
佐藤,2017/10/15,A004,294900
鈴木,2017/10/15,A003,83700
田中,2017/10/15,A002,687400
鈴木,2017/10/17,A003,400800
佐藤,2017/10/17,A002,209000
佐々木,2017/10/19,A004,287500
田中,2017/10/20,A004,395100
鈴木,2017/10/20,A001,592900
田中,2017/10/21,A001,248700
佐藤,2017/10/22,A002,986600
田中,2017/10/25,A001,411600
鈴木,2017/10/25,A003,810400
鈴木,2017/10/26,A005,592600
鈴木,2017/10/27,A003,66600
鈴木,2017/10/27,A003,568500
佐々木,2017/10/27,A005,922700
佐藤,2017/10/28,A005,41300
佐藤,2017/10/28,A004,349700
鈴木,2017/10/28,A003,380300
鈴木,2017/10/28,A005,110100
佐々木,2017/10/29,A003,849300
佐々木,2017/10/29,A003,843300
佐藤,2017/10/30,A004,1093800
田中,2017/11/01,A004,22034300
佐藤,2017/11/03,A003,892200
鈴木,2017/11/03,A002,501300
佐藤,2017/11/04,A001,135200
佐藤,2017/11/04,A003,947200
田中,2017/11/05,A001,253100
佐藤,2017/11/05,A005,559800
田中,2017/11/06,A003,729300
佐藤,2017/11/10,A001,318600
鈴木,2017/11/12,A001,597300
佐々木,2017/11/13,A004,606600
田中,2017/11/13,A005,764700
佐藤,2017/11/14,A003,197100
佐藤,2017/11/15,A004,221400
佐藤,2017/11/15,A004,665400
佐々木,2017/11/15,A005,317400
鈴木,2017/11/16,A004,584200
佐藤,2017/11/16,A004,543800
佐藤,2017/11/17,A005,283200
鈴木,2017/11/17,A005,393100
佐々木,2017/11/18,A001,855200
佐藤,2017/11/18,A003,954400
田中,2017/11/19,A005,313500
田中,2017/11/20,A002,79900
田中,2017/11/20,A004,299000
鈴木,2017/11/21,A004,578800
田中,2017/11/23,A003,883700
佐藤,2017/11/24,A002,595500
佐藤,2017/11/25,A004,975400
佐々木,2017/11/26,A001,414400
鈴木,2017/11/26,A001,798000
佐藤,2017/11/26,A001,574000
田中,2017/11/27,A004,729200
佐藤,2017/11/28,A001,790100
佐々木,2017/11/28,A001,742300
佐々木,2017/11/29,A005,345000
佐藤,2017/11/29,A005,888100
佐藤,2017/12/01,A005,99300
田中,2017/12/01,A005,452300
鈴木,2017/12/03,A005,99400
佐藤,2017/12/03,A005,124500
鈴木,2017/12/06,A005,843200
田中,2017/12/07,A002,847000
佐藤,2017/12/08,A001,10800
鈴木,2017/12/08,A003,856000
鈴木,2017/12/09,A005,105000
佐々木,2017/12/10,A001,142500
佐藤,2017/12/11,A005,35900
田中,2017/12/11,A003,440500
鈴木,2017/12/12,A005,454000
田中,2017/12/13,A004,355100
佐藤,2017/12/13,A002,816600
佐藤,2017/12/14,A002,222100
田中,2017/12/15,A005,979300
佐藤,2017/12/16,A001,405300
鈴木,2017/12/20,A004,927500
佐々木,2017/12/20,A004,936900
佐々木,2017/12/20,A005,873000
佐々木,2017/12/21,A001,802400
田中,2017/12/21,A002,53900
鈴木,2017/12/21,A001,107000
田中,2017/12/22,A003,926000
佐藤,2017/12/22,A002,597000
鈴木,2017/12/22,A002,442500
佐藤,2017/12/23,A005,683000
田中,2017/12/25,A002,504300
佐藤,2017/12/27,A005,43000
田中,2017/12/27,A003,155800
田中,2017/12/28,A002,842700
鈴木,2017/12/29,A002,347600
田中,2017/12/30,A005,584000
佐藤,2017/12/31,A005,255600
鈴木,2017/12/31,A004,328200
鈴木,2018/01/01,A001,315700
鈴木,2018/01/03,A005,409300
佐藤,2018/01/04,A001,238000
佐藤,2018/01/05,A001,132000
佐藤,2018/01/05,A002,38000
佐藤,2018/01/05,A002,573800
鈴木,2018/01/07,A005,960200
鈴木,2018/01/09,A005,930900
佐藤,2018/01/09,A002,769600
鈴木,2018/01/09,A004,750300
佐藤,2018/01/11,A001,49200
佐藤,2018/01/11,A003,706300
田中,2018/01/13,A005,617500
佐藤,2018/01/13,A003,611200
佐々木,2018/01/13,A003,207500
田中,2018/01/14,A002,976200
佐藤,2018/01/15,A003,16800
佐々木,2018/01/16,A004,668300
佐藤,2018/01/16,A005,964000
佐藤,2018/01/17,A001,168900
田中,2018/01/17,A005,122900
佐々木,2018/01/18,A004,909500
佐藤,2018/01/19,A002,242600
佐々木,2018/01/19,A005,267400
鈴木,2018/01/21,A005,140400
鈴木,2018/01/21,A005,839900
佐藤,2018/01/21,A003,160500
鈴木,2018/01/22,A001,435700
佐藤,2018/01/23,A002,198700
佐藤,2018/01/25,A002,857100
佐藤,2018/01/26,A004,645600
佐々木,2018/01/27,A003,688300
佐々木,2018/01/28,A005,918700
佐藤,2018/01/28,A004,678000
田中,2018/01/29,A005,93100
佐藤,2018/01/29,A002,576400
田中,2018/01/30,A005,689500
佐々木,2018/01/31,A005,760600
佐々木,2018/01/31,A003,959700
鈴木,2018/02/01,A003,165300
佐藤,2018/02/01,A003,227300
佐藤,2018/02/02,A001,467800
鈴木,2018/02/02,A005,551800
田中,2018/02/03,A005,649400
佐々木,2018/02/03,A001,220400
佐藤,2018/02/04,A001,886100
鈴木,2018/02/04,A003,937800
田中,2018/02/04,A005,649200
佐藤,2018/02/04,A005,658300
鈴木,2018/02/05,A002,805100
佐藤,2018/02/05,A004,655200
佐藤,2018/02/06,A004,414900
佐々木,2018/02/06,A001,365400
佐藤,2018/02/06,A001,447400
佐藤,2018/02/06,A004,158300
鈴木,2018/02/07,A002,87400
田中,2018/02/07,A001,453100
田中,2018/02/08,A003,152700
田中,2018/02/09,A002,965600
田中,2018/02/10,A002,601300
佐藤,2018/02/11,A003,64800
佐々木,2018/02/12,A003,708700
田中,2018/02/12,A002,174000
田中,2018/02/12,A001,579100
鈴木,2018/02/13,A001,419400
佐藤,2018/02/15,A005,10180000
佐々木,2018/02/15,A003,338100
鈴木,2018/02/16,A002,961600
佐藤,2018/02/16,A001,779400
佐藤,2018/02/17,A005,171800
佐藤,2018/02/18,A005,753700
田中,2018/02/20,A005,810900
佐々木,2018/02/21,A004,208100
佐々木,2018/02/21,A002,77600
佐々木,2018/02/24,A005,434500
鈴木,2018/02/26,A002,181300
鈴木,2018/02/26,A005,371400
田中,2018/02/28,A001,447300
佐藤,2018/03/02,A003,41300
鈴木,2018/03/04,A003,805900
佐藤,2018/03/04,A005,351600
佐々木,2018/03/05,A002,929500
田中,2018/03/06,A005,117300
佐藤,2018/03/07,A003,676600
佐々木,2018/03/08,A001,751900
佐藤,2018/03/09,A005,608800
佐藤,2018/03/12,A003,859400
佐々木,2018/03/12,A004,290000
佐藤,2018/03/15,A001,504900
佐藤,2018/03/15,A001,117000
田中,2018/03/15,A004,711700
佐藤,2018/03/15,A003,29300
鈴木,2018/03/16,A002,92800
鈴木,2018/03/16,A005,630900
田中,2018/03/18,A005,841600
佐々木,2018/03/19,A005,425600
佐々木,2018/03/21,A001,269100
佐藤,2018/03/22,A001,937800
佐々木,2018/03/23,A003,373700
佐々木,2018/03/23,A002,341200
佐々木,2018/03/24,A002,744600
佐藤,2018/03/25,A004,647800
佐藤,2018/03/26,A002,819500
佐藤,2018/03/26,A004,671400
佐々木,2018/03/26,A001,590900
鈴木,2018/03/28,A001,752600
鈴木,2018/03/29,A001,95500
鈴木,2018/03/29,A003,413800
佐々木,2018/03/30,A003,495800
田中,2018/03/30,A005,802000
佐々木,2018/03/30,A003,914200
